DOMAIN,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
1,675,12,12,1,0,0,1,1,0,1,2,1,16.68,34,0,12.95,12.95,LEGIT
1,675,12,12,1,0,0,1,1,0,1,2,1,16.68,34,0,38.85,38.85,LEGIT
2,680,18,18,1,0,0,0,0,0,1,3,0,37.88,23,0,38.85,38.85,LEGIT
2,355,18,18,0,0,0,0,0,0,1,3,1,-26.864,17,0,38.85,38.85,LEGIT
2,308,13,13,0,0,1,0,0,0,1,3,1,29.648,25,4,59.4,59.4,LEGIT
2,601,20,20,0,0,0,0,0,0,1,3,0,7.392,8,0,49.95,49.95,LEGIT
2,121,5,5,0,0,0,0,1,0,1,3,1,-11.576,19,0,38.85,38.85,LEGIT
2,398,5,5,0,0,0,0,0,0,1,2,1,-21.824,21,0,12.95,12.95,FRAUD
2,428,12,12,0,0,1,0,0,0,1,1,1,0.832,12,4,12.95,12.95,LEGIT
2,601,8,8,0,0,1,1,1,0,2,3,1,-3.784,9,0,10.36,10.36,LEGIT
2,120,10,10,0,0,0,1,0,0,1,3,1,1.12,19,0,12.95,12.95,LEGIT
2,625,17,17,0,0,1,1,1,0,1,3,0,-6.616,9,9,12.95,12.95,LEGIT
2,398,11,11,1,0,1,0,0,0,1,4,0,30.392,7,4,12.95,12.95,LEGIT
2,685,20,20,0,0,0,0,0,0,1,0,1,25.056,25,0,25.9,25.9,LEGIT
2,116,17,17,0,0,1,1,1,0,1,3,1,-17.464,8,0,38.85,38.85,LEGIT
2,398,10,10,0,0,0,1,0,0,1,3,0,-0.744,17,2,12.95,12.95,LEGIT
2,649,16,16,0,0,0,0,0,0,1,3,0,-20.84,18,0,38.85,38.85,LEGIT
2,614,19,19,0,0,1,0,0,0,2,2,0,21.136,10,2,10.36,10.36,LEGIT
2,685,0,0,0,0,0,0,0,0,2,3,1,40.576,18,0,38.85,38.85,LEGIT
2,398,7,7,0,0,1,1,0,0,1,3,0,23.992,7,2,49.95,49.95,LEGIT
2,428,18,18,0,0,1,0,0,0,1,0,1,27.44,8,4,12.95,12.95,LEGIT
2,355,17,17,0,0,0,1,1,0,1,3,1,-18.88,25,1,12.95,12.95,LEGIT
2,601,16,16,0,0,1,0,0,0,1,3,0,4.28,6,4,38.85,38.85,LEGIT
2,308,20,20,0,0,1,1,1,0,1,3,0,6.672,8,0,12.95,12.95,LEGIT
2,109,22,22,0,0,0,1,0,0,1,0,0,-13.88,26,0,25.9,25.9,LEGIT
2,634,10,10,0,0,0,1,0,0,1,3,0,-8.88,20,0,38.85,38.85,LEGIT
2,166,16,16,0,0,0,1,0,0,1,3,0,5.728,21,1,38.85,38.85,LEGIT
2,420,9,9,0,0,1,0,0,0,1,3,0,38.128,11,2,12.95,12.95,LEGIT
2,600,11,12,0,0,0,1,0,0,1,2,0,-54.464,23,0,38.85,38.85,LEGIT
2,355,0,23,0,0,0,1,0,0,2,2,1,44.56,10,0,12.95,12.95,LEGIT
2,601,15,15,0,0,0,0,0,0,1,3,1,-0.264,18,2,12.95,12.95,LEGIT
2,683,10,10,0,0,1,0,0,0,1,2,0,4.44,21,0,31.08,31.08,FRAUD
2,672,13,13,0,0,1,1,1,0,2,3,1,-15.496,7,0,49.95,49.95,LEGIT
2,308,19,19,0,0,1,1,1,0,1,0,0,23.096,25,0,12.95,12.95,LEGIT
2,369,12,12,0,0,1,0,0,0,1,3,0,-28.848,8,0,12.95,12.95,LEGIT
2,398,15,15,0,0,0,1,1,0,1,3,1,23.184,14,0,38.85,38.85,LEGIT
2,656,19,19,0,0,0,0,0,0,1,3,1,30.976,20,1,12.95,12.95,LEGIT
2,114,9,9,0,0,1,0,0,0,2,3,1,0.224,9,9,38.85,38.85,LEGIT
2,369,16,16,0,0,0,1,1,0,2,3,1,19.216,21,0,25.9,25.9,LEGIT
2,675,9,10,0,0,0,1,0,0,1,3,0,-28.8,20,0,38.85,38.85,LEGIT
2,675,13,13,0,0,1,1,1,0,1,2,0,19.824,7,0,38.85,38.85,LEGIT
2,672,21,21,0,0,1,0,0,0,1,2,0,-5.112,7,0,38.85,38.85,LEGIT
2,428,19,19,0,0,0,0,0,0,2,2,1,35.608,7,0,11.65,11.65,LEGIT
2,122,0,0,1,0,0,1,0,0,1,2,1,33.264,25,0,12.95,12.95,LEGIT
2,355,15,15,0,0,1,1,1,0,1,3,1,-9.784,9,9,12.95,12.95,LEGIT
2,127,14,14,0,0,1,0,0,0,1,2,1,-34.928,6,3,49.95,49.95,LEGIT
2,649,10,10,0,0,0,0,1,0,1,3,0,-111.032,20,2,12.95,12.95,FRAUD
2,128,13,13,0,0,0,1,0,0,1,0,0,-95.968,18,3,12.95,12.95,FRAUD
2,128,11,11,0,0,1,1,1,0,1,3,0,33.144,9,1,38.85,38.85,LEGIT
2,614,18,18,0,0,0,0,0,0,2,3,0,-11.424,25,0,49.95,49.95,LEGIT
2,649,16,16,0,0,1,1,1,0,2,3,0,21.224,24,2,38.85,38.85,LEGIT
2,112,14,14,0,0,0,1,1,0,2,0,0,-39.48,26,0,38.85,38.85,LEGIT
2,672,10,10,0,0,0,0,0,0,1,3,0,-3.144,24,0,12.95,12.95,LEGIT
2,428,23,23,0,0,1,0,0,0,1,3,0,26.576,8,0,12.95,12.95,LEGIT
2,420,17,17,0,0,0,1,0,0,1,3,1,3.216,20,0,12.95,12.95,LEGIT
2,122,18,18,0,0,0,0,0,0,1,3,1,-45.768,16,0,38.85,38.85,LEGIT
2,685,12,12,0,0,0,0,0,0,1,3,1,-73.4,19,3,12.95,12.95,LEGIT
2,600,17,17,0,0,1,0,0,0,2,0,0,26.448,29,0,12.95,12.95,LEGIT
2,398,14,14,0,0,1,0,1,0,1,3,0,45.872,9,9,38.85,38.85,LEGIT
2,119,22,22,0,0,1,0,0,0,4,2,1,-63.048,7,0,38.85,38.85,LEGIT
2,308,17,17,0,0,1,0,0,0,1,2,1,10.344,9,9,10.36,10.36,LEGIT
2,119,0,0,0,0,0,0,0,0,1,2,0,18.4,21,0,12.95,12.95,LEGIT
2,630,6,6,0,0,1,0,0,0,1,3,1,27.48,11,0,38.85,38.85,LEGIT
2,101,10,10,0,0,1,1,1,0,1,3,1,-26.136,21,0,12.95,12.95,LEGIT
2,398,21,21,0,0,1,0,0,0,1,3,1,27.112,11,5,12.95,12.95,LEGIT
2,614,18,18,0,0,1,0,0,0,1,3,0,0.928,7,2,12.95,12.95,LEGIT
2,649,7,7,0,0,0,1,0,0,1,3,1,-45.352,21,0,38.85,38.85,LEGIT
2,166,11,11,0,0,0,0,0,0,1,3,0,24.944,26,2,12.95,12.95,LEGIT
2,398,22,22,1,0,1,1,1,1,1,3,0,11.648,7,2,12.95,12.95,LEGIT
2,648,6,6,0,0,1,0,0,0,2,4,0,-20.56,9,0,0,0,LEGIT
2,672,19,19,0,0,0,0,0,0,1,3,0,21.784,19,2,38.85,38.85,LEGIT
2,398,13,13,0,0,0,1,1,0,1,3,0,-10.136,22,2,25.9,25.9,LEGIT
2,369,19,19,0,0,1,1,1,0,1,3,1,13.768,9,0,11.01,11.01,LEGIT
2,672,19,19,0,0,1,0,0,0,1,3,0,16.552,11,1,12.95,12.95,LEGIT
2,398,8,8,0,0,0,0,0,0,2,3,1,18.552,18,0,38.85,38.85,LEGIT
2,398,10,10,1,0,1,1,1,0,1,3,1,11.32,8,1,38.85,38.85,LEGIT
2,398,10,10,0,0,0,1,1,0,1,3,0,-20.848,20,1,38.85,38.85,LEGIT
2,355,13,13,0,0,1,0,0,0,1,3,0,28,7,0,31.08,31.08,LEGIT
2,308,10,10,0,0,1,1,0,0,1,3,0,47.568,11,4,38.85,38.85,LEGIT
2,601,21,21,0,0,0,0,0,0,1,1,1,5.328,24,0,38.85,38.85,LEGIT
2,672,22,22,0,0,1,1,0,0,1,2,0,-8.528,8,2,38.85,38.85,LEGIT
2,111,17,17,1,0,1,0,0,1,2,3,0,38.48,6,1,12.95,12.95,LEGIT
2,450,17,17,0,0,0,1,1,0,1,0,0,13.088,21,0,38.85,38.85,LEGIT
2,685,14,14,0,0,1,1,0,0,1,3,1,21.616,12,0,38.85,38.85,LEGIT
2,600,9,9,0,0,1,0,0,0,1,2,0,-13.248,7,4,12.95,12.95,LEGIT
2,308,10,10,0,0,0,0,0,0,1,3,0,-60.048,21,0,38.85,38.85,FRAUD
2,687,19,19,0,0,0,0,1,0,1,2,0,25.368,21,0,49.95,49.95,LEGIT
2,602,16,16,0,0,0,1,0,0,1,2,0,-23.248,20,0,12.95,12.95,LEGIT
2,398,11,11,0,0,0,1,1,0,1,3,0,-22.72,10,3,38.85,38.85,LEGIT
2,113,20,20,0,0,0,1,1,0,2,2,1,-110.224,12,0,38.85,38.85,LEGIT
2,398,16,16,0,0,1,1,1,1,2,4,0,-53.296,7,5,25.9,25.9,LEGIT
2,649,18,18,0,0,0,1,0,0,1,1,1,-22.192,23,0,38.85,38.85,LEGIT
2,101,13,13,0,0,1,1,0,0,2,3,0,-8.936,15,0,38.85,38.85,LEGIT
2,428,16,16,0,0,0,0,1,0,1,2,0,-5.584,24,0,12.95,12.95,LEGIT
2,672,13,13,0,0,0,0,0,0,1,2,0,20.024,21,2,36.26,36.26,LEGIT
2,602,19,19,1,0,0,1,1,0,1,3,1,43.136,27,0,38.85,38.85,LEGIT
2,648,7,7,0,0,1,0,0,0,2,4,0,-20.56,9,0,0,0,LEGIT
2,166,12,12,0,0,1,1,0,0,2,0,1,21.184,7,0,11.01,11.01,LEGIT
2,166,7,7,0,0,1,1,0,0,3,3,0,-9.632,10,0,31.08,31.08,LEGIT
2,115,13,13,0,0,1,0,0,0,1,2,1,-2.104,11,0,10.36,10.36,LEGIT
2,127,16,16,0,0,1,0,0,0,1,3,0,8.376,18,0,20.72,20.72,LEGIT
2,625,13,13,0,0,0,1,1,0,1,3,1,44.328,20,2,49.95,49.95,LEGIT
2,127,8,8,0,0,1,0,0,0,1,0,1,-29.632,9,0,12.95,12.95,LEGIT
2,428,12,12,0,0,1,0,0,0,3,2,0,9.584,8,0,38.85,38.85,LEGIT
2,369,7,7,0,0,0,1,1,0,1,3,0,20.632,7,0,38.85,38.85,LEGIT
2,672,22,22,1,0,1,0,0,0,1,2,0,16.4,19,0,39.96,39.96,LEGIT
2,648,19,19,0,0,1,0,0,0,1,3,0,46.528,10,0,10.36,10.36,LEGIT
2,109,19,19,1,0,1,1,0,0,1,2,0,-10.736,23,0,12.95,12.95,LEGIT
2,166,20,20,1,0,0,0,0,0,1,3,0,33.008,7,0,12.95,12.95,LEGIT
